"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"1224","4617014","SKF/FAG/TIMKEN MAKE BEARING 6308 2Z","NOS","12","17-Nov-2017","11-May-2017","6450.12","","","","",""
"1225","4617015","SKF/FAG/TIMKEN  MAKE BEARING 6207 2Z","NOS","2","17-Nov-2017","19-Sep-2007","614.10","","","","",""
"1226","4617016","SKF/FAG/TIMKEN MAKE BEARING 6307 2Z","NOS","10","17-Nov-2017","21-Oct-2016","3375.36","","","","",""
"1227","4617018","SKF/FAG/TIMKEN  MAKE BEARING 6305 2Z","NOS","3","17-Nov-2017","27-Nov-2017","693.45","","","","",""
"1228","4617019","SKF/FAG/TIMKEN MAKE BEARING 6203 2Z","NOS","6","17-Nov-2017","18-Mar-2017","687.24","","","","",""
"1229","4617020","SKF/FAG/TIMKEN  MAKE BEARING 6303 2Z","NOS","3","17-Nov-2017","29-Aug-2014","550.62","","","","",""
"1230","4617021","SKF/FAG/TIMKEN MAKE BEARING 6310 2Z.","NOS","5","17-Nov-2017","10-Jan-2018","4350.45","","","","",""
"1231","4617022","SKF/FAG/TIMKEN MAKE BEARING  6309 2Z","NOS","3","17-Nov-2017","23-Apr-2018","7737.66","","","","",""
"1232","4617023","SKF/FAG/TIMKEN MAKE BEARING 6302 2Z","NOS","6","17-Nov-2017","18-Mar-2017","927.36","","","","",""
"1233","4617024","BEARING 6215 2Z","NOS","3","23-Dec-2017","20-Nov-2017","7745.58","","","","",""
"1234","4618003","SKF/FAG/TIMKEN MAKE BEARING 6208 Z","NOS","6","17-Nov-2017","6-Jul-2015","2098.98","","","","",""
"1235","4618006","SKF/FAG/TIMKEN MAKE BEARING 6307 Z","NOS","3","17-Nov-2017","18-Mar-2017","1043.28","","","","",""
"1236","4618007","SKF/FAG/TIMKEN MAKE BEARING 6308 Z","NOS","12","17-Nov-2017","11-May-2017","6176.88","","","","",""
"1237","4618009","SKF/FAG/TIMKEN MAKE BEARING 6206 Z","NOS","6","17-Nov-2017","11-May-2017","1751.22","","","","",""
"1238","4618010","SKF/FAG/TIMKEN MAKE BEARING  6203 Z","NOS","6","17-Nov-2017","30-Sep-2016","629.28","","","","",""
"1239","4618012","SKF/NTN/TIMKEN MAKE BEARING  1212 EKTN9/C3","NOS","2","12-Mar-2018","24-Dec-2016","2480.00","","","","",""
"1240","4618014","SKF/FAG/TIMKEN MAKE BEARING  6207 Z","NOS","2","17-Nov-2017","6-Jul-2015","580.98","","","","",""
"1241","4618015","SKF/FAG/TIMKEN MAKE BEARING 6305 Z","NOS","3","17-Nov-2017","11-Mar-2017","654.12","","","","",""
"1242","4618016","SKF/FAG/TIMKEN MAKE BEARING  6009 2Z","NOS","6","17-Nov-2017","15-Feb-2017","3818.40","","","","",""
"1243","4619002","SKF/NTN/TIMKEN MAKE BEARING 30208 J2 / Q","NOS","4","9-Nov-2017","22-Oct-2016","1568.00","","","","",""
"1244","4619005","SKF/FAG/TIMKEN  MAKE BEARING LM603049/603011","NOS","1","17-Nov-2017","9-Mar-2015","511.29","","","","",""
"1245","4619016","SKF/NTN/TIMKEN MAKE BEARING 3490/3420","NOS","8","9-Nov-2017","17-Nov-2017","10134.50","","","","",""
"1246","4619017","-do- N212 ECP","NOS","4","7-Dec-2013","12-Feb-2013","13492.00","","","","",""
"1247","4619021","SKF/NTN/TIMKEN MAKE BEARING 30210 J2/Q","NOS","4","9-Nov-2017","22-Oct-2016","1413.25","","","","",""
"1248","4619022","SKF/NTN/TIMKEN MAKE BEARING 632/645.","NOS","10","12-Feb-2018","22-Oct-2016","30900.00","","","","",""
"1249","4619024","SKF/FAG/TIMKEN MAKE BEARING 32207 J2 / Q","NOS","3","17-Nov-2017","11-May-2017","1422.09","","","","",""
"1250","4619025","BEARING 32208 J2 / Q","NOS","6","19-Sep-2016","22-Oct-2016","3300.00","","","","",""
"1251","4619026","SKF/FAG/TIMKEN MAKE BEARING 30305  C","NOS","3","17-Nov-2017","3-Sep-2015","1055.70","","","","",""
"1252","4619032","SKF/NTN/TIMKEN MAKE BEARING 522/529","NOS","12","24-Nov-2017","6-Mar-2018","17396.40","","","","",""
"1253","4619033","BEARINGS 32213/330356 B/Q.","NOS","2","7-Sep-2016","31-May-2018","7104.00","","","","",""
"1254","4619034","SKF/FAG/TIMKEN MAKE BEARING 30204 J2/Q","NOS","6","17-Nov-2017","11-May-2017","1415.88","","","","",""
"1255","4619040","SKF/FAG/TIMKEN MAKE BEARING 30205 J2/Q","NOS","6","17-Nov-2017","13-Feb-2017","1506.96","","","","",""
"1256","4619043","SKF/FAG/TIMKEN MAKE BEARING 30207 J2/Q","NOS","3","17-Nov-2017","11-May-2017","1086.75","","","","",""
